Statistical profiling result from isolate-0x102004600-v8.log, (1169 ticks, 124 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%        LazyCompile: ~get /Users/jimdebeer/dev/play/base/lib/context/getter.js:20:13
      1  100.0%          LazyCompile: *filter /Users/jimdebeer/dev/play/state/lib/inject.js:18:12
      1  100.0%            LazyCompile: *module.exports /Users/jimdebeer/dev/play/base/lib/keys/method.js:5:27
      1    4.5%      LazyCompile: *exec /Users/jimdebeer/dev/play/brisky-hub/test/performance/index.js:13:14
      1  100.0%        LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
      1  100.0%          LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      1  100.0%            LazyCompile: ~diff /Users/jimdebeer/dev/play/state/lib/subscribe/diff.js:4:32

     44    3.8%  /usr/lib/system/libsystem_malloc.dylib
     44  100.0%    /Users/jimdebeer/.nvm/versions/node/v6.3.1/bin/node
     22   50.0%      LazyCompile: ~merge /Users/jimdebeer/dev/play/brisky-hub/lib/serialize/index.js:4:16
     22  100.0%        LazyCompile: ~merge /Users/jimdebeer/dev/play/brisky-hub/lib/serialize/index.js:4:16
     22  100.0%          LazyCompile: ~serialize /Users/jimdebeer/dev/play/brisky-hub/lib/serialize/index.js:16:37
     14   63.6%            LazyCompile: *update /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:61:25
      6   27.3%            LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
      2    9.1%            LazyCompile: *doit /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:72:21
      7   15.9%      LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
      7  100.0%        LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
      7  100.0%          LazyCompile: *item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      7  100.0%            LazyCompile: ~diff /Users/jimdebeer/dev/play/state/lib/subscribe/diff.js:4:32
      6   13.6%      LazyCompile: *update /Users/jimdebeer/dev/play/brisky-hub/lib/sync/subscription/index.js:61:25
      6  100.0%        LazyCompile: ~create /Users/jimdebeer/dev/play/state/lib/subscribe/val.js:15:34
      6  100.0%          LazyCompile: *struct /Users/jimdebeer/dev/play/state/lib/subscribe/struct.js:9:34
      6  100.0%            LazyCompile: *test /Users/jimdebeer/dev/play/state/lib/subscribe/test.js:4:32
      1    2.3%      LazyCompile: ~get /Users/jimdebeer/dev/play/base/lib/context/parent.js:33:7
      1  100.0%        LazyCompile: ~getRoot /Users/jimdebeer/dev/play/base/lib/method/root.js:10:11
      1  100.0%          LazyCompile: ~get /Users/jimdebeer/dev/play/base/lib/method/root.js:20:9
      1  100.0%            LazyCompile: *set /Users/jimdebeer/dev/play/brisky-hub/lib/sync/set.js:7:9
      1    2.3%      LazyCompile: ~fs.readFileSync fs.js:494:27
      1  100.0%        LazyCompile: ~Module._extensions..js module.js:548:37
      1  100.0%          LazyCompile: ~Module.load module.js:449:33
      1  100.0%            LazyCompile: tryModuleLoad module.js:414:23
      1    2.3%      LazyCompile: ~exports.setKeyInternal /Users/jimdebeer/dev/play/base/lib/set/property/internal.js:16:35
      1  100.0%        LazyCompile: ~exports.setKey /Users/jimdebeer/dev/play/base/lib/set/property/index.js:17:27
      1  100.0%          LazyCompile: ~exports.set /Users/jimdebeer/dev/play/base/lib/set/index.js:13:24
      1  100.0%            LazyCompile: ~set /Users/jimdebeer/dev/play/observable/lib/observable/set.js:22:9
      1    2.3%      LazyCompile: ~addToInstances /Users/jimdebeer/dev/play/base/lib/instances.js:10:18
      1  100.0%        LazyCompile: ~module.exports /Users/jimdebeer/dev/play/base/lib/index.js:15:40
      1  100.0%          LazyCompile: ~derivedBase /Users/jimdebeer/dev/play/base/lib/constructor.js:37:31
      1  100.0%            Function: ~<anonymous> /Users/jimdebeer/dev/play/observable/lib/emitter/listens.js:1:11
      1    2.3%      LazyCompile: ~Server.httpServer.on._upgradeListener /Users/jimdebeer/.nvm/versions/node/v6.3.1/lib/node_modules/uws/uws.js:341:68
      1  100.0%        LazyCompile: ~emitThree events.js:114:19
      1  100.0%          LazyCompile: ~emit events.js:136:44
      1  100.0%            LazyCompile: ~onParserExecuteCommon _http_server.js:377:33
      1    2.3%      LazyCompile: formatValue util.js:298:21
      1  100.0%        LazyCompile: ~inspect util.js:172:17
      1  100.0%          LazyCompile: ~exports.format util.js:71:26
      1  100.0%            LazyCompile: ~Console.log console.js:42:33
      1    2.3%      LazyCompile: *test native regexp.js:153:20
      1  100.0%        LazyCompile: ~item /Users/jimdebeer/dev/play/state/lib/subscribe/item.js:5:32
      1  100.0%          LazyCompile: ~diff /Users/jimdebeer/dev/play/state/lib/subscribe/diff.js:4:32
